Honorific,Salutation,Post Nominals,Surname,First Name,Other Name,Preferred Name,Initials,Electorate,State,Political Party,Gender,Telephone,Fax,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate TollFree,Electorate Postal Address,Electorate Postal Suburb,Electorate Postal State,Electorate Postal Postcode,Label Address,Label Suburb,Label State,Label Postcode,Parliamentary Title,Ministerial Title
Hon,Mr,MP,Albanese,Anthony,Norman,Anthony,A. N.,Grayndler,NSW,ALP,Male,(02) 6277 7700,(02) 6273 4100,334A Marrickville Road,,Marrickville,NSW,2204,(02) 9564 3588,(02) 9564 1734,,PO Box 5100,Marrickville,NSW,2204,,,,,,Prime Minister
Hon Dr,Dr,MP,Aly,Anne,,Anne,A.,Cowan,WA,ALP,Female,(02) 6277 7630,,"Tenancy 3, Level 1",31 Cedric Street,Stirling,WA,6021,(08) 9409 4517,,,PO Box 219,Kingsway,WA,6065,,,,,,"Minister for Early Childhood Education Minister for Youth"
Dr,Dr,MP,Ananda-Rajah,Michelle,,Michelle,M.,Higgins,VIC,ALP,Female,(02) 6277 4581,,Unit 1 1343,Malvern Road,Malvern,VIC,3144,(03) 9822 4422,,,,,,,,,,,,
Hon,Mrs,MP,Andrews,Karen,Lesley,Karen,Karen,McPherson,QLD,LNP,Female,(02) 6277 4056,,Ground Floor The Point 47 Watts Drive,,Varsity Lakes,QLD,4227,(07) 5580 9111,(07) 5580 9700,,PO Box 409,Varsity Lakes,QLD,4227,,,,,,
Mrs,Mrs,MP,Archer,Bridget,Kathleen,Bridget,B. K.,Bass,TAS,LP,Female,(02) 6277 4464,,100 St John Street ,,Launceston,TAS,7250,(03) 6334 7033,(03) 6334 7055,,PO Box 5035,Launceston,TAS,7250,,,,,,
Mr,Mr,MP,Bandt,Adam,Paul,,A. P.,Melbourne,VIC,AG,Male,(02) 6277 4914,,142 Johnston Street,,Fitzroy,VIC,3065,(03) 9417 0772,,,PO Box 1063,Collingwood,VIC,3066,,,,,Leader of the Australian Greens,
Mr,Mr,MP,Bates,Stephen,James,Stephen,S. J.,Brisbane,QLD,AG,Male,(02) 6277 2168,,349 Sandgate Road,,Albion,QLD,4010,(07) 3862 4044,,,PO Box 143,Albion DC,QLD,4010,,,,,,
Ms,Ms,MP,Bell,Angie,Marion,Angie,A. M,Moncrieff,QLD,LNP,Female,(02) 6277 4390,,65-67 Thomas Drive,,Chevron Island ,QLD,4217,(07) 5504 6000,,,PO Box 4922,Gold Coast MC,QLD,9726,,,,,,
Mr,Mr,MP,Birrell,Sam,James,Sam,S. J.,Nicholls,VIC,NATS,Male,(02) 6277 2130,,426 Wyndham Street,,Shepparton,VIC,3630,(03) 5821 5371,,,PO Box 884,Shepparton,VIC,3632,,,,,Deputy Nationals Whip,
Hon,Mr,MP,Bowen,Christopher,Eyles,Chris,C. E.,McMahon,NSW,ALP,Male,(02) 6277 7120,,Shops 3 & 4,398 Hamilton Road,Fairfield,NSW,2165,(02) 9604 0710,(02) 9609 3873,,PO Box W210,Fairfield West,NSW,2165,,,,,,Minister for Climate Change and Energy
Mr,Mr,MP,Boyce,Colin,Einar,Colin,C. E.,Flynn,QLD,LNP,Male,(02) 6277 2115,,76 Goondoon Street,,Gladstone,QLD,4680,(07) 4972 5465,,,,,,,,,,,,
Mr,Mr,MP,Broadbent,Russell,Evan,Russell,R. E.,Monash,VIC,LP,Male,(02) 6277 4233,,46C Albert Street,,Warragul,VIC,3820,(03) 5623 2064,(03) 5623 2509,,46C Albert Street,Warragul,VIC,3820,,,,,,
Hon,Mr,MP,Buchholz,Scott,,,S.,Wright,QLD,LNP,Male,(02) 6277 4144,,21 William Street,,Beaudesert,QLD,4285,(07) 5541 0150,(07) 5541 4150,,PO Box 628,Beaudesert,QLD,4285,,,,,,
Hon,Mr,MP,Burke,Anthony,Stephen,Tony,A. S.,Watson,NSW,ALP,Male,(02) 6277 7320,,"Shop 29, Broadway Plaza",,Punchbowl,NSW,2196,(02) 9750 9088,(02) 9759 2859,,PO Box 156,Punchbowl,NSW,2196,,,,,Leader of the House,"Minister for Employment and Workplace Relations Minister for the Arts"
Mr,Mr,MP,Burnell,Matt,Paul,Matt,M. P.,Spence,SA,ALP,Male,(02) 6277 4495,,"Tenancy 8, 2-10 James Street",,Salisbury,SA,5108,(08) 8258 6300,,,,,,,,,,,,
Hon,Ms,MP,Burney,Linda,Jean,,L. J.,Barton,NSW,ALP,Female,(02) 6277 7780,,"Suite 203/13A, Montgomery Street",,Kogarah,NSW,2217,(02) 9587 1555,(02) 9587 1544,,"Suite 203/13A, Montgomery Street",Kogarah,NSW,2217,,,,,,Minister for Indigenous Australians
Mr,Mr,MP,Burns,Josh,,Josh,J.,Macnamara,VIC,ALP,Male,(02) 6277 4479,,219 Barkly Street,,St Kilda,VIC,3182,(03) 9534 8126,,,219 Barkly Street,St Kilda,VIC,3182,,,,,,
Hon,Mr,MP,Butler,Mark,Christopher,,M. C.,Hindmarsh,SA,ALP,Male,(02) 6277 7220,,21 Commercial Road,,Port Adelaide,SA,5015,(08) 8241 0190,,,PO Box 2038,Port Adelaide,SA,5015,,,,,Deputy Leader of the House,Minister for Health and Aged Care
Ms,Ms,MP,Byrnes,Alison,Joy,Alison,A. J.,Cunningham,NSW,ALP,Female,(02) 6277 4532,,74 Crown Street,,Wollongong,NSW,2500,(02) 4228 5899,,,,,,,,,,,,
Hon Dr,Dr,MP,Chalmers,James,Edward,Jim,J. E.,Rankin,QLD,ALP,Male,(02) 6277 7340,,"Unit 2A, Logan Central Plaza",38-74 Wembley Road,Logan Central,QLD,4114,(07) 3299 5910,(07) 3208 8744,,PO Box 349,Woodridge,QLD,4114,,,,,,Treasurer
