ballotid,electionevent_electioneventid,electioncode,electoratename
1,20220521,1,Adelaide
2,20220521,1,Adelaide
3,20220521,1,Adelaide
4,20220521,1,Adelaide
5,20220521,1,Adelaide
6,20220521,1,Adelaide
7,20220521,1,Adelaide
8,20220521,1,Adelaide
9,20220521,1,Adelaide
10,20220521,1,Adelaide
11,20220521,1,Adelaide
12,20220521,1,Adelaide
13,20220521,1,Adelaide
14,20220521,1,Adelaide
15,20220521,1,Adelaide
16,20220521,1,Adelaide
17,20220521,1,Adelaide
18,20220521,1,Adelaide
19,20220521,1,Adelaide
20,20220521,1,Adelaide
21,20220521,1,Adelaide
22,20220521,1,Adelaide
23,20220521,1,Adelaide
24,20220521,1,Adelaide
25,20220521,1,Adelaide
26,20220521,1,Adelaide
27,20220521,1,Adelaide
28,20220521,1,Adelaide
29,20220521,1,Adelaide
30,20220521,1,Adelaide
31,20220521,1,Adelaide
32,20220521,1,Adelaide
33,20220521,1,Adelaide
34,20220521,1,Adelaide
35,20220521,1,Adelaide
36,20220521,1,Adelaide
37,20220521,1,Adelaide
38,20220521,1,Adelaide
39,20220521,1,Adelaide
40,20220521,1,Adelaide
41,20220521,1,Adelaide
42,20220521,1,Adelaide
43,20220521,1,Adelaide
44,20220521,1,Adelaide
45,20220521,1,Adelaide
46,20220521,1,Adelaide
47,20220521,1,Adelaide
48,20220521,1,Adelaide
49,20220521,1,Adelaide
50,20220521,1,Adelaide
51,20220521,1,Adelaide
52,20220521,1,Adelaide
53,20220521,1,Adelaide
54,20220521,1,Adelaide
55,20220521,1,Adelaide
56,20220521,1,Adelaide
57,20220521,1,Adelaide
58,20220521,1,Adelaide
59,20220521,1,Adelaide
60,20220521,1,Adelaide
61,20220521,1,Adelaide
62,20220521,1,Adelaide
63,20220521,1,Adelaide
64,20220521,1,Adelaide
65,20220521,1,Adelaide
66,20220521,1,Adelaide
67,20220521,1,Adelaide
68,20220521,1,Adelaide
69,20220521,1,Adelaide
70,20220521,1,Adelaide
71,20220521,1,Adelaide
72,20220521,1,Adelaide
73,20220521,1,Adelaide
74,20220521,1,Adelaide
75,20220521,1,Adelaide
76,20220521,1,Adelaide
77,20220521,1,Adelaide
78,20220521,1,Adelaide
79,20220521,1,Adelaide
80,20220521,1,Adelaide
81,20220521,1,Adelaide
82,20220521,1,Adelaide
83,20220521,1,Adelaide
84,20220521,1,Adelaide
85,20220521,1,Adelaide
86,20220521,1,Adelaide
87,20220521,1,Adelaide
88,20220521,1,Adelaide
89,20220521,1,Adelaide
90,20220521,1,Adelaide
91,20220521,1,Adelaide
92,20220521,1,Adelaide
93,20220521,1,Adelaide
94,20220521,1,Adelaide
95,20220521,1,Adelaide
96,20220521,1,Adelaide
97,20220521,1,Adelaide
98,20220521,1,Adelaide
99,20220521,1,Adelaide
100,20220521,1,Adelaide
101,20220521,1,Adelaide
102,20220521,1,Adelaide
103,20220521,1,Adelaide
104,20220521,1,Adelaide
105,20220521,1,Adelaide
106,20220521,1,Adelaide
107,20220521,1,Adelaide
108,20220521,1,Adelaide
109,20220521,1,Adelaide
110,20220521,1,Adelaide
111,20220521,1,Adelaide
112,20220521,1,Adelaide
113,20220521,1,Adelaide
114,20220521,1,Adelaide
115,20220521,1,Adelaide
116,20220521,1,Adelaide
117,20220521,1,Adelaide
118,20220521,1,Adelaide
119,20220521,1,Adelaide
120,20220521,1,Adelaide
121,20220521,1,Adelaide
122,20220521,1,Adelaide
123,20220521,1,Adelaide
124,20220521,1,Adelaide
125,20220521,1,Adelaide
126,20220521,1,Adelaide
127,20220521,1,Adelaide
128,20220521,1,Adelaide
129,20220521,1,Adelaide
130,20220521,1,Adelaide
131,20220521,1,Adelaide
132,20220521,1,Adelaide
133,20220521,1,Adelaide
134,20220521,1,Adelaide
135,20220521,1,Adelaide
136,20220521,1,Adelaide
137,20220521,1,Adelaide
138,20220521,1,Adelaide
139,20220521,1,Adelaide
140,20220521,1,Adelaide
141,20220521,1,Adelaide
142,20220521,1,Adelaide
143,20220521,1,Adelaide
144,20220521,1,Adelaide
145,20220521,1,Adelaide
146,20220521,1,Adelaide
147,20220521,1,Adelaide
148,20220521,1,Adelaide
