ballotpref_id,ballotID,CandidateID,Preference
1,1,13321,3
2,1,17846,6
3,1,17258,5
4,1,20645,4
5,1,10268,1
6,1,20553,2
7,2,13321,2
8,2,17846,4
9,2,17258,6
10,2,20645,1
11,2,10268,3
12,2,20553,5
13,3,13321,3
14,3,17846,6
15,3,17258,5
16,3,20645,4
17,3,10268,1
18,3,20553,2
19,4,13321,4
20,4,17846,2
21,4,17258,6
22,4,20645,5
23,4,10268,1
24,4,20553,3
25,5,13321,3
26,5,17846,6
27,5,17258,5
28,5,20645,4
29,5,10268,1
30,5,20553,2
31,6,13321,3
32,6,17846,6
33,6,17258,5
34,6,20645,4
35,6,10268,1
36,6,20553,2
37,7,13321,3
38,7,17846,5
39,7,17258,2
40,7,20645,6
41,7,10268,4
42,7,20553,1
43,8,13321,2
44,8,17846,6
45,8,17258,1
46,8,20645,4
47,8,10268,5
48,8,20553,3
49,9,13321,5
50,9,17846,1
51,9,17258,2
52,9,20645,6
53,9,10268,4
54,9,20553,3
55,10,13321,6
56,10,17846,4
57,10,17258,5
58,10,20645,1
59,10,10268,2
60,10,20553,3
61,11,13321,4
62,11,17846,1
63,11,17258,3
64,11,20645,2
65,11,10268,5
66,11,20553,6
67,12,13321,2
68,12,17846,1
69,12,17258,6
70,12,20645,3
71,12,10268,5
72,12,20553,4
73,13,13321,1
74,13,17846,2
75,13,17258,4
76,13,20645,6
77,13,10268,3
78,13,20553,5
79,14,13321,4
80,14,17846,3
81,14,17258,6
82,14,20645,5
83,14,10268,2
84,14,20553,1
85,15,13321,5
86,15,17846,3
87,15,17258,1
88,15,20645,6
89,15,10268,2
90,15,20553,4
91,16,13321,3
92,16,17846,6
93,16,17258,5
94,16,20645,4
95,16,10268,1
96,16,20553,2
97,17,13321,5
98,17,17846,2
99,17,17258,1
100,17,20645,4
101,17,10268,6
102,17,20553,3
103,18,13321,6
104,18,17846,1
105,18,17258,5
106,18,20645,2
107,18,10268,3
108,18,20553,4
109,19,13321,1
110,19,17846,3
111,19,17258,5
112,19,20645,4
113,19,10268,6
114,19,20553,2
115,20,13321,3
116,20,17846,5
117,20,17258,1
118,20,20645,6
119,20,10268,2
120,20,20553,4
121,21,13321,6
122,21,17846,1
123,21,17258,3
124,21,20645,5
125,21,10268,4
126,21,20553,2
127,22,13321,3
128,22,17846,6
129,22,17258,5
130,22,20645,4
131,22,10268,2
132,22,20553,1
133,23,13321,2
134,23,17846,1
135,23,17258,3
136,23,20645,6
137,23,10268,5
138,23,20553,4
139,24,13321,1
140,24,17846,4
141,24,17258,3
142,24,20645,5
143,24,10268,6
144,24,20553,2
145,25,13321,4
146,25,17846,3
147,25,17258,2
148,25,20645,5
149,25,10268,6
150,25,20553,1
151,26,13321,3
152,26,17846,6
153,26,17258,5
154,26,20645,4
155,26,10268,2
156,26,20553,1
157,27,13321,3
158,27,17846,6
159,27,17258,5
160,27,20645,4
161,27,10268,2
162,27,20553,1
163,28,13321,5
164,28,17846,3
165,28,17258,1
166,28,20645,2
167,28,10268,4
168,28,20553,6
169,29,13321,5
170,29,17846,1
171,29,17258,3
172,29,20645,4
173,29,10268,6
174,29,20553,2
175,30,13321,6
176,30,17846,1
177,30,17258,5
178,30,20645,4
179,30,10268,2
180,30,20553,3
181,31,13321,4
182,31,17846,6
183,31,17258,5
184,31,20645,3
185,31,10268,1
186,31,20553,2
187,32,13321,1
188,32,17846,4
189,32,17258,2
190,32,20645,6
191,32,10268,5
192,32,20553,3
193,33,13321,4
194,33,17846,1
195,33,17258,3
196,33,20645,2
197,33,10268,5
198,33,20553,6
199,34,13321,3
200,34,17846,6
201,34,17258,1
202,34,20645,5
203,34,10268,4
204,34,20553,2
205,35,13321,5
206,35,17846,3
207,35,17258,2
208,35,20645,6
209,35,10268,4
210,35,20553,1
211,36,13321,3
212,36,17846,6
213,36,17258,5
214,36,20645,4
215,36,10268,2
216,36,20553,1
217,37,13321,6
218,37,17846,1
219,37,17258,5
220,37,20645,4
221,37,10268,2
222,37,20553,3
223,38,13321,3
224,38,17846,6
225,38,17258,5
226,38,20645,4
227,38,10268,2
228,38,20553,1
229,39,13321,3
230,39,17846,5
231,39,17258,4
232,39,20645,2
233,39,10268,6
234,39,20553,1
235,40,13321,3
236,40,17846,6
237,40,17258,5
238,40,20645,4
239,40,10268,2
240,40,20553,1
241,41,13321,4
242,41,17846,3
243,41,17258,1
244,41,20645,6
245,41,10268,5
246,41,20553,2
247,42,13321,3
248,42,17846,6
249,42,17258,5
250,42,20645,4
251,42,10268,1
252,42,20553,2
253,43,13321,3
254,43,17846,6
255,43,17258,5
256,43,20645,4
257,43,10268,1
258,43,20553,2
259,44,13321,3
260,44,17846,6
261,44,17258,5
262,44,20645,4
263,44,10268,1
264,44,20553,2
265,45,13321,5
266,45,17846,2
267,45,17258,6
268,45,20645,3
269,45,10268,4
270,45,20553,1
271,46,13321,3
272,46,17846,2
273,46,17258,4
274,46,20645,5
275,46,10268,6
276,46,20553,1
277,47,13321,2
278,47,17846,1
279,47,17258,3
280,47,20645,4
281,47,10268,6
282,47,20553,5
283,48,13321,3
284,48,17846,6
285,48,17258,5
286,48,20645,4
287,48,10268,2
288,48,20553,1
289,49,13321,1
290,49,17846,2
291,49,17258,5
292,49,20645,6
293,49,10268,4
294,49,20553,3
295,50,13321,1
296,50,17846,3
297,50,17258,4
298,50,20645,2
299,50,10268,6
300,50,20553,5
301,51,13321,5
302,51,17846,6
303,51,17258,4
304,51,20645,2
305,51,10268,3
306,51,20553,1
307,52,13321,3
308,52,17846,6
309,52,17258,5
310,52,20645,4
311,52,10268,2
312,52,20553,1
313,53,13321,3
314,53,17846,6
315,53,17258,5
316,53,20645,4
317,53,10268,1
318,53,20553,2
319,54,13321,3
320,54,17846,1
321,54,17258,2
322,54,20645,6
323,54,10268,4
324,54,20553,5
325,55,13321,2
326,55,17846,6
327,55,17258,3
328,55,20645,1
329,55,10268,4
330,55,20553,5
331,56,13321,4
332,56,17846,1
333,56,17258,2
334,56,20645,5
335,56,10268,6
336,56,20553,3
337,57,13321,3
338,57,17846,1
339,57,17258,6
340,57,20645,5
341,57,10268,2
