electioncode,dateofelection,totalelectorates,totalregisteredvoters
1,3/11/2019,106,15485315
2,6/27/2020,143,11161972
3,1/16/2018,123,14094423
4,6/22/2016,110,10995657
5,1/23/2022,109,15842570
6,12/08/2021,134,16142742
7,2/12/2019,100,11271572
8,11/04/2020,152,11885428
9,5/21/2019,101,14086647
10,4/24/2020,109,16019889
11,8/27/2021,106,14482997
12,9/22/2016,123,14550967
13,6/18/2017,122,14584546
14,4/01/2022,108,14472544
15,7/09/2018,135,16709180
16,8/18/2021,137,10494976
17,4/28/2021,124,12026437
18,6/16/2019,112,13751571
19,11/01/2016,133,13262908
20,4/21/2018,120,13484945
21,4/22/2019,103,15058853
22,11/06/2016,149,12876051
23,5/15/2022,109,14024601
24,12/19/2020,112,10958114
25,10/04/2021,105,14984731
26,7/08/2021,125,11192530
27,7/28/2017,136,12693346
28,1/26/2019,103,13207415
29,6/30/2020,121,11801582
30,2/09/2019,110,16541259
31,10/31/2018,107,16418345
32,10/12/2017,105,12973831
33,8/26/2019,147,12590183
34,10/30/2017,105,15074395
35,11/20/2021,108,16063775
36,8/04/2020,139,15164001
37,12/24/2019,134,14804531
38,8/28/2018,101,12727528
39,11/12/2020,152,10025406
40,7/14/2021,102,17005189
