candelectionid,election_electioncode,electorate_electoratename
1,1,Adelaide
2,2,Aston
3,3,Ballarat
4,4,Banks
5,5,Barker
6,6,Barton
7,7,Bass
8,8,Bean
9,9,Bendigo
10,10,Bennelong
11,11,Berowra
12,12,Blair
13,13,Blaxland
14,14,Bonner
15,15,Boothby
16,16,Bowman
17,17,Braddon
18,18,Bradfield
19,19,Brand
20,20,Brisbane
21,21,Bruce
22,22,Burt
23,23,Calare
24,24,Calwell
25,25,Canberra
26,26,Canning
27,27,Capricornia
28,28,Casey
29,29,Chifley
30,30,Chisholm
31,31,Clark
32,32,Cook
33,33,Cooper
34,34,Corangamite
35,35,Corio
36,36,Cowan
37,37,Cowper
38,38,Cunningham
39,39,Curtin
40,40,Dawson
