electoratename,historicaldate,historicalnumberofvoters,currentmpname
Adelaide,3/11/2019,8733112,Sisely Carlaw
Aston,6/27/2020,14241059,Temp Gainsborough
Ballarat,1/16/2018,5379686,Danit Gaythorpe
Banks,6/22/2016,3732387,Zoe Clemont
Barker,1/23/2022,16927133,Ann Hacquard
Barton,12/08/2021,17039,Siusan Pendre
Bass,2/12/2019,6698811,Karleen Kiddy
Bean,11/04/2020,1929739,Ellissa Aldcorn
Bendigo,5/21/2019,3935886,Lind Rathbone
Bennelong,4/24/2020,11559585,Alidia Overstone
Berowra,8/27/2021,12117258,Andy Rubroe
Blair,9/22/2016,8312405,Arny Collerd
Blaxland,6/18/2017,15096610,Derrik Doornbos
Bonner,4/01/2022,12616687,Fifine Bowering
Boothby,7/09/2018,12477045,Farr Wanderschek
Bowman,8/18/2021,12892845,Elnora Dunbabin
Braddon,4/28/2021,14440519,Olly Connors
Bradfield,6/16/2019,2491218,Issi Stucksbury
Brand,11/01/2016,8135226,Walliw Dunmore
Brisbane,4/21/2018,15107147,Tobe Bisley
Bruce,4/22/2019,16142605,Dorey Lucchi
Burt,11/06/2016,1814162,Vivian Kezor
Calare,5/15/2022,12094527,Elizabet Drescher
Calwell,12/19/2020,13819539,Junie Schurcke
Canberra,10/04/2021,16044925,Prue Myerscough
Canning,7/08/2021,13325483,Vanna Tireman
Capricornia,7/28/2017,9397254,Caz Canning
Casey,1/26/2019,5658353,Goldi Addionisio
Chifley,6/30/2020,15963288,Hephzibah Klaes
Chisholm,2/09/2019,12891019,Torin Piburn
Clark,10/31/2018,1499338,Vanya Glasebrook
Cook,10/12/2017,2791349,Benn Dibling
Cooper,8/26/2019,12348926,Mellisa Shugg
Corangamite,10/30/2017,11452838,Georgeta Molesworth
Corio,11/20/2021,16842289,Casper Youster
Cowan,8/04/2020,3249479,Kimberlyn Fidgett
Cowper,12/24/2019,2125785,Irvin Hamon
Cunningham,8/28/2018,5595860,Anissa Brimmell
Curtin,11/12/2020,7019453,Orland Pionter
Dawson,7/14/2021,16106739,Tonnie Sandiland
Deakin,12/03/2021,9924223,Nilson Louiset
Dickson,10/23/2021,7463446,Ardelle Rodwell
Dobell,9/17/2018,9180756,Earvin Goldberg
Dunkley,10/21/2016,8926605,Alanna Bricksey
Durack,8/11/2017,14676357,Valene Kinig
Eden-Monaro,7/09/2020,11349030,Desiri Tourne
Fadden,10/14/2017,7581780,Tomasina Gernier
Fairfax,11/21/2016,521019,Hans Dunkerley
Farrer,2/08/2018,11437340,Elianora Whyborn
Fenner,6/11/2017,1682648,Ninnette Logsdail
Fisher,6/11/2019,3419552,Fernandina Bignold
Flinders,10/05/2017,10106880,Margeaux Abbatt
Flynn,8/08/2020,16885791,Albie Easman
Forde,1/23/2022,10481279,Terencio Caselick
Forrest,5/16/2017,9626823,Emmott Dudding
Fowler,12/25/2017,10832839,Payton Laughrey
Franklin,5/29/2016,533117,Bev Dundendale
Fraser,1/18/2019,9014287,Lois Boyat
Fremantle,10/02/2021,10307457,Con Hanks
Gellibrand,6/12/2019,5133366,Ethan Paeckmeyer
Gilmore,10/08/2016,907427,Giovanni Bendik
Gippsland,9/12/2021,6370944,Ilyse Peplow
Goldstein,8/16/2020,16099289,Fred Penley
Gorton,1/11/2018,12952033,Farra Cleaver
Grayndler,10/24/2020,13731024,Isabel Rycroft
Greenway,9/05/2016,16946191,Shirl Mussetti
Grey,5/12/2017,4177828,Dick Strass
Griffith,3/31/2020,1174348,Elfreda Sandbrook
Groom,5/15/2020,883000,Gayle Jessup
Hasluck,10/04/2019,5711895,Ofella Beesley
Hawke,8/11/2019,13561583,Matthieu Gobourn
Herbert,11/18/2016,1424138,Carlyle Menghi
Higgins,1/02/2021,8594239,Euell Lenin
Hindmarsh,7/05/2016,9222576,Deck Jellybrand
Hinkler,9/13/2021,15024561,Alasdair Leacy
Holt,5/26/2021,13839274,Lebbie McCorry
Hotham,8/08/2019,282959,Torrie Farnie
Hughes,5/11/2022,7955148,Tamarah Beslier
Hume,8/21/2021,10599078,Burgess Swallow
Hunter,3/21/2021,4872719,Meade Brassington
Indi,1/08/2021,6725537,Egon Tarry
Isaacs,10/01/2019,10457882,Fredia Feron
Jagajaga,9/28/2020,7509132,Emlynne Vitet
Kennedy,5/05/2017,336426,Flynn Inch
Kingsford Smith,9/19/2019,3575773,Valida Hendriks
Kingston,7/19/2019,8276612,Gerardo Allbut
Kooyong,11/17/2017,5692078,Sinclair Fysh
La Trobe,1/09/2022,14596132,Temp Cavaney
Lalor,5/22/2017,9538453,Hortense McMullen
Leichhardt,2/24/2018,11216291,Ina Althrope
Lilley,6/22/2017,12841997,Ezri Walkey
Lindsay,1/06/2021,4830982,Leonerd Borres
Lingiari,7/04/2018,253334,Rubina Close
Longman,2/24/2021,3791021,Melony Faucherand
Lyne,8/06/2017,10343396,Janeta Cowlishaw
Lyons,11/17/2017,7247797,Taber Costin
Macarthur,8/13/2016,5607148,Peggy Bereford
Mackellar,9/17/2016,16227996,Farrel Phette
Macnamara,7/22/2016,6946733,Krista Irving
Macquarie,10/15/2019,6262852,Jean Jolliffe
Makin,8/29/2016,7349794,Renelle Fiennes
Mallee,4/06/2019,6753725,Nester Cockcroft
Maranoa,6/20/2019,13165347,Millicent June
Maribyrnong,7/28/2016,4184767,Cristi Cavilla
