MCCID_GIS,the_geom,NAME,MCCID_STR,MAPLABEL,XDATE
39,"LINESTRING (144.95328861584 -37.829804900454, 144.952886131453 -37.829902084557, 144.952134484675 -37.830544500772)",BUCKHURST  LA,STREET_NAME_EXT_5000_Label,,20160122
65,"LINESTRING (144.938916491966 -37.775396900669, 144.9390720717 -37.774532790057)",GIBSON  AV,STREET_NAME_EXT_10000_Label,,20160122
63,"LINESTRING (144.948253784366 -37.833456268505, 144.948388963421 -37.833793087693)",BARKLY  AV,STREET_NAME_EXT_5000_Label,,20160122
368,"LINESTRING (144.995482513629 -37.839488192368, 144.99572992609 -37.839514285469, 145.013718733116 -37.841666944537)",TOORAK  RD,STREET_NAME_EXT_10000_Label,,20160122
31,"LINESTRING (144.907011990752 -37.781713985002, 144.907839060105 -37.782606719565)",CHAUVEL  ST,STREET_NAME_EXT_10000_Label,,20160122
14,"LINESTRING (144.987359748692 -37.834774647751, 144.991943464823 -37.835322642703)",DOMAIN  RD,STREET_NAME_EXT_10000_Label,,20160122
4,"LINESTRING (144.988585002851 -37.826816682748, 144.990708831859 -37.827040533802)",BLANCHE  ST,STREET_NAME_EXT_5000_Label,,20160122
62,"LINESTRING (144.940418169112 -37.826017007657, 144.946099683377 -37.830913751783, 144.946351540611 -37.831063053722, 144.949494229691 -37.833875607868)",BOUNDARY  ST,STREET_NAME_EXT_10000_Label,,20160122
107,"LINESTRING (144.991632747836 -37.839086280575, 144.991199339702 -37.841264373369, 144.991130807531 -37.84163103424, 144.990946324726 -37.842284982011, 144.990906704329 -37.842416439844, 144.99084654919 -37.842640397141, 144.990478893326 -37.844387473442, 144.990085126989 -37.846249090289)",OSBORNE  ST,STREET_NAME_EXT_10000_Label,,20160122
160,"LINESTRING (144.953156527311 -37.801133538271, 144.954790168936 -37.79984493797)",WRECKYN  STREET,Street_Label_15000,Wreckyn  Street,20210923
79,"LINESTRING (144.944444392791 -37.844506992928, 144.945721941958 -37.845189801249, 144.946002171245 -37.845341470127, 144.947517659557 -37.846146884789, 144.947726039269 -37.846265844201, 144.948782331443 -37.846818949804)",REED  ST,STREET_NAME_EXT_10000_Label,,20160122
168,"LINESTRING (144.95500483333 -37.830832579441, 144.962635036587 -37.828626506406)",MARKET  ST,STREET_NAME_EXT_10000_Label,,20160122
406,"LINESTRING (144.972376371771 -37.796351534613, 144.972412279192 -37.796136104954)",CL1128,Street_Label_1000,CL1128,20210923
1020,"LINESTRING (144.968082885033 -37.807077798137, 144.9681442439 -37.806717051243, 144.968130189669 -37.806715663343, 144.968181011835 -37.806418696575, 144.968194974842 -37.806420136965, 144.968222887332 -37.806255017277)",ELLIOTT  PLACE,Street_Label_2000,Elliott  Place,20210923
808,"LINESTRING (144.965470416907 -37.796797674825, 144.965504437639 -37.79660621962, 144.965534291588 -37.796437565228)",UNION  PLACE,Street_Label_2000,Union  Place,20210923
1183,"LINESTRING (144.958127611231 -37.817345060581, 144.957937661885 -37.816930044015)",PL5359,Street_Label_2000,PL5359,20210923
35,"LINESTRING (144.972080131399 -37.857528564391, 144.973855140162 -37.859390658137, 144.975208891859 -37.860835694357)",PARK  LA,STREET_NAME_EXT_5000_Label,,20160122
